nohup: ignoring input
Using backend: pytorch
cuda:0 pretrained/GGCN_wisconsin_04_14_02_15.pt
Epoch:0288 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0289 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0290 train loss:0.009 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0291 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0292 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0293 train loss:0.008 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0294 train loss:0.008 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0295 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0296 train loss:0.008 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0297 train loss:0.008 acc:100.00 | val loss:0.384 acc:86.25
Epoch:0298 train loss:0.008 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0299 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0300 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0301 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0302 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0303 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0304 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0305 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0306 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0307 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0308 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0309 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0310 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0311 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0312 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0313 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0314 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0315 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0316 train loss:0.008 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0317 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0318 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0319 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0320 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0321 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0322 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
Epoch:0323 train loss:0.008 acc:100.00 | val loss:0.383 acc:86.25
0 : 78.43
Epoch:0001 train loss:1.592 acc:29.17 | val loss:1.569 acc:28.75
